season,vcaseid,no,outtrip_no,vq21,vq21a,vq22,vq22_1,vq23_1,vq23_2,vq23_3,vq23_4,vq23_5,vq23_6,vq23_7,vq23_8,vq23_9,vq23_10,vq24,vq25a,vq25a1_1,vq25a1_2,vq25b,vq26,vq26a_1,vq26a_2,vq26a_3,vq26a_4,vq26a_5,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq29,vq29a,vq29b,vq29b1_1,vq29b1_2,vq29b1_3,vq29b1_4,vq29b1_5,vq29c,vq29d,vq29e,vq29e1_1,vq29e1_2,vq29e1_3,vq29e1_4,vq29e1_5,vb1,vb2,vb3,vb4,vb5,vb6,vb7,w
4,99240184,24135,3255,2,1,3, ,2, , , , , , , , , ,1,2, , ,10,4, , , , , ,2, , , , , ,2, , , , ,3,0,4,2,3,5, , ,5,9,2,4, , , , ,4,5,6,1,6,22,1,.139795
4,96159455,19153,2588,9,8,1,1,29, , , , , , , , , ,1,3, ,2,7,4, , , , , ,1,2,3,4,6,7,2, , , , ,15,0,3,4, , , , ,7,5,3,2, , , , ,9,6,4,2,9,2,1,.635311
3,96175921,13510,1804,5,4,1,1,9, , , , , , , , , ,1,2, , ,4,1,3,4,5, , ,2, , , , , ,2, , , , ,10,10,1, , , , , ,1,1,7,2,65, , , ,4,5,3,1,8,4,2,1.01
1,96238689,77,646,8,7,1,1,12, , , , , , , , , ,1,1,2, ,4,4, , , , , ,1,1,2,3,4,6,2, , , , ,12,0,11,1,2,3,5, ,1,5,9,3,4, , , ,6,5,6,2,10,6,1,1.246221
1,96155216,2468,323,7,6,1,1,12, , , , , , , , , ,1,1,2, ,7,4, , , , , ,1,2,3,4, , ,2, , , , ,10,0,6,1,2, , , ,1,9,5,3,4, , , ,9,3,5,2,5,4,1,.723628
1,96170765,2032,403,10,9,1,1,8, , , , , , , , , ,1,3, ,1,4,4, , , , , ,1,1,2,3,4, ,2, , , , ,5,0,4,1,4, , , ,9,10,7,2,4, , , ,6,6,1,2,9,4,2,.858274
3,96214455,13855,1855,6,5,1,2,13, , , , , , , , , ,2, , , , ,4, , , , , ,1,2,4,5,6, ,2, , , , ,10,0,14,2,5, , , ,9,1,9, ,4, , , ,9,6,13,2,10,19,1,.654517
3,96251137,14632,1953,6,5,1,2,12, , , , , , , , , ,1,3, ,2,6,1,1,2,3, , ,2, , , , , ,2, , , , ,10,10,1, , , , , ,10,10,8, ,4, , , ,10,4,13,2,8,12,2,.508793
3,98118117,15733,2098,13,12,1,2,23,24,25,62, , , , , , ,1,3, ,2,4,1,1,2, , , ,1,6, , , , ,2, , , , ,22,22,14,1,2,3, , ,10,11,5, ,4, , , ,6,4,5,2,7,10,2,.6653
3,98205827,16571,2217,5,4,1,1,4, , , , , , , , , ,1,3, ,2,2,1,6, , , , ,2, , , , , ,2, , , , ,7,4,1, , , , , ,1,4,5, ,4, , , ,6,3,5,2,6,6,2,.636699
