trip_no,vcaseid,no,season,vq3,vq4_1,vq4_2,vq4_3,vq4_4,vq4_5,vq4_6,vq4_7,vq4_8,vq4_9,vq4_10,vq4_a1_1,vq4_a1_2,vq4_a1_3,vq4_a1_4,vq4_a1_5,vq4_a1_6,vq4_a1_7,vq4_a1_8,vq4_a1_9,vq4_a1_10,vq4_a2_1,vq4_a2_2,vq4_a2_3,vq4_a2_4,vq4_a2_5,vq4_a2_6,vq4_a2_7,vq4_a2_8,vq4_a2_9,vq4_a2_10,vq4_a3_1,vq4_a3_2,vq4_a3_3,vq4_a3_4,vq4_a3_5,vq4_a3_6,vq4_a3_7,vq4_a3_8,vq4_a3_9,vq4_a3_10,vq4_a4_1,vq4_a4_2,vq4_a4_3,vq4_a4_4,vq4_a4_5,vq4_a4_6,vq4_a4_7,vq4_a4_8,vq4_a4_9,vq4_a4_10,vq4_a5_1,vq4_a5_2,vq4_a5_3,vq4_a5_4,vq4_a5_5,vq4_a5_6,vq4_a5_7,vq4_a5_8,vq4_a5_9,vq4_a5_10,vq4_a6_1,vq4_a6_2,vq4_a6_3,vq4_a6_4,vq4_a6_5,vq4_a6_6,vq4_a6_7,vq4_a6_8,vq4_a6_9,vq4_a6_10,vq4_a7_1,vq4_a7_2,vq4_a7_3,vq4_a7_4,vq4_a7_5,vq4_a7_6,vq4_a7_7,vq4_a7_8,vq4_a7_9,vq4_a7_10,vq4_a8_1,vq4_a8_2,vq4_a8_3,vq4_a8_4,vq4_a8_5,vq4_a8_6,vq4_a8_7,vq4_a8_8,vq4_a8_9,vq4_a8_10,vq4_a9_1,vq4_a9_2,vq4_a9_3,vq4_a9_4,vq4_a9_5,vq4_a9_6,vq4_a9_7,vq4_a9_8,vq4_a9_9,vq4_a9_10,vq4_a10_1,vq4_a10_2,vq4_a10_3,vq4_a10_4,vq4_a10_5,vq4_a10_6,vq4_a10_7,vq4_a10_8,vq4_a10_9,vq4_a10_10,vq4_a11_1,vq4_a11_2,vq4_a11_3,vq4_a11_4,vq4_a11_5,vq4_a11_6,vq4_a11_7,vq4_a11_8,vq4_a11_9,vq4_a11_10,vq4_a12_1,vq4_a12_2,vq4_a12_3,vq4_a12_4,vq4_a12_5,vq4_a12_6,vq4_a12_7,vq4_a12_8,vq4_a12_9,vq4_a12_10,vq4_a13_1,vq4_a13_2,vq4_a13_3,vq4_a13_4,vq4_a13_5,vq4_a13_6,vq4_a13_7,vq4_a13_8,vq4_a13_9,vq4_a13_10,vq4_a14_1,vq4_a14_2,vq4_a14_3,vq4_a14_4,vq4_a14_5,vq4_a14_6,vq4_a14_7,vq4_a14_8,vq4_a14_9,vq4_a14_10,vq4_a15_1,vq4_a15_2,vq4_a15_3,vq4_a15_4,vq4_a15_5,vq4_a15_6,vq4_a16_1,vq4_a16_2,vq4_a16_3,vq4_a16_4,vq4_a16_5,vq4_a16_6,vq4_a16_7,vq4_a16_8,vq4_a16_9,vq4_a16_10,vq4_a17_1,vq4_a17_2,vq4_a17_3,vq4_a17_4,vq4_a17_5,vq4_a17_6,vq4_a17_7,vq4_a17_8,vq4_a18_1,vq4_a18_2,vq4_a18_3,vq4_a18_4,vq4_a18_5,vq4_a18_6,vq4_a18_7,vq4_a18_8,vq4_a18_9,vq4_a18_10,vq4_a19_1,vq4_a19_2,vq4_a19_3,vq4_a19_4,vq4_a19_5,vq4_a19_6,vq4_a19_7,vq4_a19_8,vq4_a19_9,vq4_a19_10,vq4_a20_1,vq4_a20_2,vq4_a20_3,vq4_a20_4,vq4_a20_5,vq4_a20_6,vq4_a20_7,vq4_a20_8,vq4_a20_9,vq4_a20_10,vq4_a21_1,vq4_a21_2,vq4_a21_3,vq4_a21_4,vq4_a21_5,vq4_a21_6,vq4_a21_7,vq4_a21_8,vq4_a21_9,vq4_a21_10,vq4_a22_1,vq4_a22_2,vq4_a22_3,vq4_a22_4,vq4_a22_5,vq4_a22_6,vq4_a22_7,vq4_a22_8,vq4_a22_9,vq4_a22_10,vq5,vq5a,vq5b,vq6,vq6a,vq7,vq7a,vq7b,vq7c_1,vq7c_2,vq7c_3,vq7c_4,vq7c_5,vq7c_6,vq7c_7,vq7c_8,vq7c_9,vq7c_10,vq8,vq9,vq9_1_1,vq9_1_2,vq9_1_3,vq9_2,vq9_3_1,vq9_3_2,vq9_3_3,vq9_3_4,vq9_3_5,vq9_4_1,vq9_4_2,vq9_4_3,vq9_4_4,vq9_4_5,vq10_1,vq10_2,vq10_3,vq10_4,vq10_5,vq10_6,vq10_7,vq10a_1,vq10a_2,vq10b_1,vq10b_2,vq10c_1,vq10c_2,vq11,vq11a,vq11b,vq11c,vq12a,vq12a1,vq12a1_1,vq12a1_2,vq12a1_3,vq12a1_4,vq12a1_5,vq12a2,vq12a3,vq12a4,vq12a5,vq12a6,vq12a7,vq12a8,vq12a8_1_1,vq12a8_1_2,vq12a8_1_3,vq12a8_1_4,vq12a8_1_5,vq12a8_1_6,q12a,q12a1,q12a2,q12a3,q12a4,q12a5,q12a6,q12a7,vq13_1,vq13_2,vq13_3,vq14_1,vq14_2,vq14_3,vq14_4,vq14_5,vq14_6,vq15,vq15a_1,vq15a_2,vq15a_3,vq15a_4,vq15a_5,vq15a_6,vq16_1,vq16_2,vq16_3,vq16_4,vq16_5,vq16_6,vq16_7,vq16_8,vq16_9,vq16_10,vq16a,vb1,vb2,vb3,vb4,vb5,vb6,vb7,weight_q6
6189,96204441,8074,2,5,5,7,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,514,519,529,505, , , , , , , , , , , , , , , , ,765, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1647,1651,1654,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,5,4,2,88,2,5,16, , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,2,6, , , , , , , , , ,1, ,1,2,0,0,14,14,1,2,3,4,5,1,1,1,1,1,1,1, , , , , , ,14000,22500,3500,8000,1000,1000,0,500,7,5, ,3,5, , , , ,2, , , , , , ,101,102,105,204,502,602, , , , ,602,11,4,11,2,7,12,2,.356484
605,96253763,762,1,3,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1645,1647,1657,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,4,3,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,7,1, , , , , ,7,3,7,1,1,1,2,3, , , , , ,1875,0,625,625,625,0,0,0,8, , ,3, , , , , ,2, , , , , , ,502,603,609, , , , , , , ,502,3,5,14,1,1,6,1,1.399954
6914,96243758,9141,2,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1610,1612,1615,1616,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,1,2,7,4,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,4,0,0,7,1, , , , , ,4,5,7,1,1,1,2,2,3, , , , ,2125,0,250,1250,625,0,0,0,1, , ,8, , , , , ,1,2, , , , , ,101,102,502,603, , , , , , ,102,8,3,5,2,7,20,2,.46093
388,96226333,469,1,1,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1616,1649,1659,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,3,2,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,2, , , ,8,1, , , , , ,7, ,10,6,7,1,2,3,5, , , , ,3450,0,625,0,1750,450,625,0, , , ,3, , , , , ,2, , , , , , ,205,501,502,503,603, , , , , ,603,3,5,3,1,6,6,2,1.049567
10847,96243017,14496,3,7,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1615,1653,1654,1659,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,1,0,1, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,2,1,0,88,1, , , , , ,88, ,88,1,5,1,1, , , , , , ,675,0,375,0,0,0,300,0,11, , ,5, , , , , ,2, , , , , , ,101,102,104,501,603, , , , , ,501,10,2,11,2,5,5,2,.865699
14687,96212493,19648,4,11,15,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1506, , , , , ,1615,1616,1638,1655,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,4,7,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1, , , , , , , , , , , , ,1,5,2,1,88,1, , , , , ,88,7,8,1,5,2,1, , , , , , ,4200,0,375,2500,875,0,350,100,11, , ,5, , , , , ,2, , , , , , ,101,102,211,501,502, , , , , ,102,11,3,11,2,7,19,2,.47379
10997,96254142,14690,3,9,5,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,519,565, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1648,1649,1650,1656,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3, ,2,2,1,5,8,2,5, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1,5,65, , , , , , , , , , ,2, , , ,10,1, , , , , ,8,8,7,5,1,1,2,1,2,3, , , ,5675,0,950,3750,625,350,0,0,6,10, ,3, , , , , ,1,2, , , , , ,101,102,765, , , , , , , ,101,3,5,12,1,1,5,2,1.649137
15200,96241063,20213,4,10,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1638,1648,1649,1650,1659,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,5, ,3,2,6, , , , , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,1,7,12, , , , , , , , , , ,1,2,0,0,10,1, , , , , ,8, ,8,7,12,4,1, , , , , , ,6625,0,875,0,875,625,3500,750,6, , ,1,3, , , , ,2, , , , , , ,101,102,204,502,603,609, , , , ,502,7,5,5,2,6,16,2,.396011
8433,97211403,11238,2,6,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1616,1648,1649,1658,1659,1665, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,6, , , , , , , , , , , , ,3,8,4, , ,2, , , , , , , , , , ,3,4,7,8,11, , ,2, , , , , ,2, , , ,9,1, , , , , ,12, ,8,1,1,1,2,1,3, , , , ,4375,0,3500,0,875,0,0,0, , , ,8, , , , , ,1,4, , , , , ,101,102,212,501,502,503, , , , ,101,5,5,6,1,6,17,2,.796251
4429,96155335,5702,1,3,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1616,1648,1649,1656,1659, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , ,2,1,2,4,2,16, , , , , , , , , ,1,8,4, , ,2, , , , , , , , , , ,5,6,7, , , , , , , , , , ,2, , , ,8,1, , , , , ,10,4,11,4,9,1,2,5, , , , , ,5500,0,1500,750,2000,250,1000,0,7,5, ,3,5, , , , ,1,2,5,6, , , ,501,502,503,603,604, , , , , ,603,5,5,6,1,5,1,1,1.070143
